Qubit,Pair,T1 (µs),T2 (µs),f1QRB,f1QRB std err,f1Q sim. RB,f1Q sim. RB std err,fRO,fISWAP,Avg T1,Avg T2,Avg f1QRB,Avg fRO
,33-40,,,,,,,,0.9830746341038429,0.000027539662253883712,0.000015514138390293475,0.9975469105330277,0.9325
,34-41,,,,,,,,0.9563624024716326,0.000024208074957843273,0.00004369713323848501,0.9915646558626654,0.8895
,35-36,,,,,,,,0.5,0.000031672759034706566,0.00002507087832770427,0.9994578714370203,0.9675
,36-37,,,,,,,,0.9792541107614233,0.000023739695554914064,0.000014831310996776814,0.9985925185933153,0.954
,36-43,,,,,,,,0.9893764950373705,0.00003268899132613523,0.00001724664261504305,0.9990585509002101,0.981
,37-38,,,,,,,,0.5,0.000022168960737145582,0.000015307276859610752,0.9985533781204995,0.95
,37-44,,,,,,,,0.9858423311490367,0.000029450929933672043,0.00001569603691542465,0.9985615493802968,0.9585
,38-39,,,,,,,,0.9871841024647986,0.000026191312913037557,0.00001780217469016243,0.9962719301399593,0.9664999999999999
,38-45,,,,,,,,0.9884538711652442,0.00004741824985432519,0.00001819698713922957,0.9993142343580911,0.975
,39-40,,,,,,,,0.5,0.00001988845165856734,0.000011874434606595763,0.9947963051058666,0.957
,39-46,,,,,,,,0.9772701599999041,0.00003468923496041665,0.000014653337067516148,0.9912370065033662,0.9289999999999999
,40-41,,,,,,,,0.962275375911944,0.000011488550316851587,0.00003035764156644749,0.9899940835337095,0.8895
,40-47,,,,,,,,0.5,0.00003302115880676748,0.000015933876879592468,0.9976355932579974,0.954
,43-50,,,,,,,,0.5,0.000039002255419640086,0.000018339492816377145,0.9989906569959982,0.971
,44-45,,,,,,,,0.9863101663063069,0.00005470021905085165,0.000018585747195043467,0.9993224056178884,0.9835
,44-51,,,,,,,,0.9918580158258419,0.000044633095299118075,0.000021838162133636096,0.9992910163196493,0.9875
,45-46,,,,,,,,0.9377518637177316,0.00005591617190170428,0.000015048149516583287,0.994279310721498,0.9375
,45-52,,,,,,,,0.5,0.00003589292701655644,0.000012206968549421937,0.9970056523799397,0.931
,46-47,,,,,,,,0.9449834770364938,0.00004782194210861679,0.000018712779340512853,0.9940762946554971,0.9259999999999999
,46-53,,,,,,,,0.5,0.000026110157669290146,0.000009733694371627521,0.7445906743486158,0.754
,47-54,,,,,,,,0.9842657348221668,0.000036808451220227134,0.00002280779864949345,0.999062519393042,0.96
,49-50,,,,,,,,0.9605858084960784,0.000032180375387103055,0.000013587543664428381,0.9987549330816212,0.875
,49-56,,,,,,,,0.9894794895454543,0.00002902567162987868,0.000007440192604790674,0.9985521679656025,0.8465
,50-51,,,,,,,,0.5,0.00004523512501386495,0.000022066286416322356,0.9992540916284558,0.973
,50-57,,,,,,,,0.953058754876622,0.00004008728944948636,0.000022437657979379466,0.9991761828145984,0.9675
,51-52,,,,,,,,0.9898303277704006,0.000025825803264822866,0.000015459383488014566,0.9969742630817005,0.935
,51-58,,,,,,,,0.5,0.00004126262623493915,0.000018915871055957822,0.9993419580099919,0.9815
,52-53,,,,,,,,0.5,0.0000060869127841423065,0.000006892513404466172,0.7473170160070575,0.7475
,52-59,,,,,,,,0.9943371614599861,0.000028924897507498493,0.000015209988864395285,0.9966180960660456,0.9295
,53-54,,,,,,,,0.5,0.000015096666780900492,0.000013828713680608118,0.7495768990861609,0.788
,53-60,,,,,,,,0.5,0.000022894197223455315,0.00001557825382847433,0.7491481271136244,0.7909999999999999
,54-55,,,,,,,,0.5,0.00002975209898503639,0.000022770438106056723,0.9991908045349868,0.919
,54-61,,,,,,,,0.9812016575634627,0.000024579933572632662,0.000016668335094727205,0.9976576693412038,0.869
,55-62,,,,,,,,0.9875521823315643,0.000041199927855117835,0.000025915800993536742,0.9993436440031811,0.9275
,56-57,,,,,,,,0.5,0.00003693258569226199,0.00001629030691974176,0.9989734176985798,0.9390000000000001
,56-63,,,,,,,,0.5,0.000058162340985434824,0.000016214610484510672,0.9990807845978211,0.9355
,57-58,,,,,,,,0.5,0.00003611479067056056,0.000019287242619014933,0.9992640491961347,0.976
,57-64,,,,,,,,0.5,0.000030317831943182938,0.00002217844441165795,0.9991563248099826,0.9804999999999999
,58-59,,,,,,,,0.9915364978700454,0.000044361720477614774,0.00001866647643233854,0.9989857909943369,0.976
,58-65,,,,,,,,0.5,0.00003065487421216595,0.000015886371390938514,0.9991704751856423,0.967
,59-60,,,,,,,,0.5,0.0000457321819468115,0.000023895729288403444,0.9984492071726124,0.973
,59-66,,,,,,,,0.9918079321944072,0.000054263595671733,0.000020722468379252845,0.9985885697851269,0.965
,60-61,,,,,,,,0.5,0.000032377464015187485,0.000018417875242593418,0.9972288973686674,0.872
,60-67,,,,,,,,0.9908854070458863,0.00003339231995924674,0.000022337254433235643,0.9982008957618562,0.9339999999999999
,61-62,,,,,,,,0.5,0.000036027762442714106,0.000019813697982207223,0.9978105088093983,0.8775
,61-68,,,,,,,,0.5,0.000032244309443707486,0.000017996352462135157,0.997824276811513,0.8694999999999999
,62-69,,,,,,,,0.5,0.00005372052487095935,0.000027676312478908116,0.9994576949648228,0.97
,63-64,,,,,,,,0.5,0.000051547587236355774,0.000022102747976426862,0.9992636917092239,0.977
,63-70,,,,,,,,0.5,0.00006380932015892515,0.00003023380675737375,0.9994700346854656,0.962
,64-65,,,,,,,,0.5,0.00002485791548478833,0.00001877757318358153,0.9990627507994904,0.9715
,64-71,,,,,,,,0.5,0.00003434923738754314,0.00002239389579294926,0.9992807354168993,0.9824999999999999
,65-66,,,,,,,,0.9862886596234939,0.000040556749406284176,0.000017942363337852818,0.9987732539764322,0.956
,65-72,,,,,,,,0.9769032889067937,0.000024024618648699203,0.000020460374265063308,0.9991301163944284,0.963
,66-73,,,,,,,,0.9831987810810636,0.0000351683500762201,0.000016928359268808535,0.9987461344061489,0.9595
,67-68,,,,,,,,0.9821400280731889,0.00003325916538776674,0.00002191573165277738,0.9987962752047018,0.9315
,67-74,,,,,,,,0.5,0.00002797234668938664,0.000022405939127501107,0.9987575658777863,0.9319999999999999
,68-69,,,,,,,,0.5,0.00004993707187195273,0.00002585896695883605,0.9994714629669377,0.962
,68-75,,,,,,,,0.9659494142006974,0.00004446517143541495,0.00002226059835019889,0.9994093018401217,0.972
,69-76,,,,,,,,0.9831117845512746,0.000051567393061890954,0.000028859475564080306,0.9993838630039861,0.968
